id,name,bic,street,city,zip,country:id
BNINIDJAUGM,BANK NEGARA INDONESIA PT (PERSERO) (UGM BRANCH),BNINIDJAUGM,,YOGYAKARTA,,base.id
BNINIDJAUID,BANK NEGARA INDONESIA PT (PERSERO) (UI DEPOK BRANCH),BNINIDJAUID,,JAKARTA,,base.id
BNINIDJAUPB,BANK NEGARA INDONESIA PT (PERSERO) (UNPAD BR. BDG.),BNINIDJAUPB,,BANDUNG,,base.id
BNINIDJAUPG,BANK NEGARA INDONESIA PT (PERSERO) (UJUNG PANDANG BRANCH),BNINIDJAUPG,,UJUNG PANDANG,,base.id
BNINIDJAUSM,BANK NEGARA INDONESIA PT (PERSERO) (URIP SUMOHARJO BRANCH),BNINIDJAUSM,,SURABAYA,,base.id
BNINIDJAUSU,BANK NEGARA INDONESIA PT (PERSERO) (UNIV. SUMUT BRANCH),BNINIDJAUSU,,MEDAN,,base.id
BNINIDJAWAM,BANK NEGARA INDONESIA PT (PERSERO) (WISMA ARGO MANUNGGAL BRANCH),BNINIDJAWAM,,JAKARTA,,base.id
BNINIDJAWEN,BANK NEGARA INDONESIA PT (PERSERO) (WISMA EMPAT NAM BRANCH),BNINIDJAWEN,,JAKARTA,,base.id
BNINIDJAWGR,BANK NEGARA INDONESIA PT (PERSERO) (WONOGIRI BRANCH),BNINIDJAWGR,,WONOGIRI,,base.id
BNINIDJAWNK,BANK NEGARA INDONESIA PT (PERSERO) (WONOKROMO BRANCH),BNINIDJAWNK,,WONOKROMO,,base.id
BNINIDJAWSB,BANK NEGARA INDONESIA PT (PERSERO) (WONOSOBO BRANCH),BNINIDJAWSB,,WONOSOBO,,base.id
BNINIDJAWTS,BANK NEGARA INDONESIA PT (PERSERO) (WATANSOPPENG BRANCH),BNINIDJAWTS,,WATANSOPPENG,,base.id
BNINIDJAXXX,BANK NEGARA INDONESIA PT (PERSERO),BNINIDJAXXX,,JAKARTA,,base.id
BNINIDJAYGY,BANK NEGARA INDONESIA PT (PERSERO) (YOGYAKARTA BRANCH),BNINIDJAYGY,,YOGYAKARTA,,base.id
BNPAIDJAXXX,BANK BNP PARIBAS INDONESIA PT,BNPAIDJAXXX,,JAKARTA,,base.id
BOFAID2XGRC,"BANK OF AMERICA, N.A. JAKARTA BRANCH (JAKARTA)",BOFAID2XGRC,,JAKARTA,,base.id
BOFAID2XXXX,"BANK OF AMERICA, N.A. JAKARTA BRANCH",BOFAID2XXXX,INDONESIA STOCK EXCHANGE BUILDING TOWER 2 FLOOR 23 JALAN JEND. SUDIRMAN KAV 52-53,JAKARTA,12190,base.id
BOMSIDJ1XXX,BOMAR SECURITIES PT,BOMSIDJ1XXX,,JAKARTA,,base.id
BOREIDJ1XXX,BORESIA PT,BOREIDJ1XXX,,JAKARTA,,base.id
BOTKIDJXXXX,"BANK OF TOKYO-MITSUBISHI UFJ, LTD., THE (JAKARTA BRANCH)",BOTKIDJXXXX,"MIDPLAZA BUILDING FLOOR 1-3 JL. J. SUDIRMAN, KAV 10-11",JAKARTA,10220,base.id
BPIAIDJAXXX,BANK RESONA PERDANIA PT.,BPIAIDJAXXX,MENARA MULIA 5TH AND 6TH FLOOR JL. JEND GATOT SUBROTO KAV 9-11,JAKARTA,10120,base.id
BRINIDJA001,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (AMBON BRANCH)",BRINIDJA001,,AMBON,,base.id
BRINIDJA002,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (BAGAN SIAPI-API BRANCH)",BRINIDJA002,,BAGAN SIAPI-API,,base.id
BRINIDJA003,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (BANJARMASIN BRANCH)",BRINIDJA003,,BANJARMASIN,,base.id
BRINIDJA005,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (ASIA AFRIKA BRANCH)",BRINIDJA005,,BANDUNG,,base.id
BRINIDJA018,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (TANAH ABANG BRANCH)",BRINIDJA018,,JAKARTA,,base.id
BRINIDJA019,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (JAKARTA KOTA BRANCH)",BRINIDJA019,,JAKARTA,,base.id
BRINIDJA020,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (JAMBI BRANCH)",BRINIDJA020,,JAMBI,,base.id
BRINIDJA021,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (JEMBER BRANCH)",BRINIDJA021,,JEMBER,,base.id
BRINIDJA026,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (GRESIK BRANCH)",BRINIDJA026,,GRESIK,,base.id
BRINIDJA033,"PT. BANK RAKYAT INDONESIA (PERSERO), TBK (KEDIRI BRANCH)",BRINIDJA033,,KEDIRI,,base.id
